r [m] ;c [m] ;β [deg] ;t/c [%] 
2,80 ;5,38 ;14,50 ;100
11,00 ;5,45 ;14,43 ;86,05
16,87 ;5,87 ;12,55 ;61,1
22,96 ;6,18 ;8,89 ;43,04
32,31 ;6,02 ;6,38 ;32,42
41,57 ;5,42 ;4,67 ;27,81
50,41 ;4,70 ;2,89 ;25,32
58,53 ;4,00 ;1,21 ;24,26
65,75 ;3,40 ;-0,13 ;24,1
71,97 ;2,91 ;-1,11 ;24,10 
77,19 ;2,54 ;-1,86 ;24,10 
78,71 ;2,43 ;-2,08 ;24,10 
80,14 ;2,33 ;-2,28 ;24,10 
82,71 ;2,13 ;-2,64 ;24,10 
84,93 ;1,90 ;-2,95 ;24,10 
86,83 ;1,63 ;-3,18 ;24,10 
88,45 ;1,18 ;-3,36 ;24,10 
89,17 ;0,60 ;-3,43 ;24,10 